Item #,Ref Des,Full Name/Description,Category,Part/Catalog Number,Manufacturer/Supplier,Notes
7,C1-C5;C8-C9,100nf Capacitor 0603,Controller,,,Decoupling Capacitors
2,C6;C10,10uF Capacitor 0603,Controller,,,Bypass / Bulk Capacitor
1,C7,Not fitted,Controller,,,
1,IC2,PIC Microprocessor,Controller,dsPIC33CK256MP502-I/SS SSOP28,Microchip,
1,IC3,DAC,Controller,AD5624R,Analog Devices,
1,IC4,ADC,Controller,ADS1115,Texas Instruments,
1,IC5,I2C Multiplexer,Controller,PCA9544APW;112,NXP,
1,IC6,EEPROM,Controller,25AA040ST,Microchip,
12,R1-R10;R12-R13,1k Resistor 0603,Controller,,,
1,R11,10k Resistor 0603,Controller,,,
8,X1-X8,Connectors,Controller,Picoblade 53047-0410,Molex,
,,Digital liquid flow sensor,Sensor,LG16-0431D,Sensirion,https://sensirion.com/products/catalog/LG16-0431D
,,Compact electroneumatic regulator,Actuator,ITV0031-2MN,SMC Pneumatics,https://www.smcpneumatics.com/ITV0031-2MN.html
8,,Picoblade 1.25mm 4-way,Cables,51021-0400,Molex,
4,,Picoblade 1.25mm 5-way,Cables,51021-0500,Molex,
52,,Picoblade 26-28 AWG Crimps,Cables,50079-8000,Molex,
4,,DuPont Standard Female 1-Way,Cables,,,Ubiquitous
4,,SMC ITV Cable,Cables,M84DSX3MG4,SMC,
4,,SL Male 4-Way Connector,Cables,70107-0038,Molex,Enclosure Connectors (Actuators)
4,,SL Female 4-Way Connector,Cables,50-57-9404,Molex,Enclosure Connectors (Actuators)
4,,SL Male 5-Way Connector,Cables,70107-5039,Molex,Enclosure Connectors (Flow Sensor)
4,,SL Female 5-Way Connector,Cables,50-57-9405,Molex,Enclosure Connectors (Flow Sensor)
36,,SL Male Crimps,Cables,16-02-0105,Molex,
36,,SL Female Crimps,Cables,16-02-0069,Molex,
